sample,m,L,M,F_g,P,P_inv
1,0,94,35.0,0.34284250000000005,98381.48337581509,1.016451435459681e-5
2,20,87,55.0,0.5387525000000001,98617.63992891242,1.0140173712541087e-5
3,40,80,75.0,0.7346625,98853.79648200977,1.0115949367528724e-5
4,60,72,95.0,0.9305725,99089.9530351071,1.0091840488063454e-5
5,80,65,115.0,1.1264825,99326.10958820445,1.0067846250556821e-5
6,100,57,135.0,1.3223925,99562.26614130179,1.0043965839234411e-5
7,120,48,155.0,1.5183025,99798.42269439912,1.0020198446043395e-5
